4;3644;1
9;3659;2
7;3604;3
24;3277;4
87;3686;5
77;3606;6
26;3405;7
62;3598;8
100;3727;9
20;3267;10
78;3623;11
85;3644;12
69;3600;13
5;3662;14
58;3525;15
35;3424;16
13;3569;17
55;3556;18
22;3273;19
61;3588;20
27;3407;21
99;3725;22
38;3454;23
57;3560;24
53;3493;25
63;3568;26
3;3421;27
25;3279;28
8;3657;29
59;3529;30
28;3591;31
10;3572;32
52;3485;33
14;3522;34
79;3627;35
64;3605;36
32;3372;37
60;3567;38
66;3609;39
12;3538;40
29;3593;41
0;3501;42
37;3448;43
84;3642;44
51;3481;45
76;3702;46
80;3629;47
68;3576;48
101;3731;49
97;3721;50
54;3524;51
56;3558;52
50;3444;53
98;3723;54
33;3394;55
21;3269;56
81;3631;57
49;3442;58
31;336;59
19;3265;60
39;3458;61
93;3869;62
95;3713;63
70;3616;64
47;3426;65
90;2908;66
65;3607;67
48;3432;68
11;3527;69
91;3680;70
41;3581;71
67;3562;72
71;3619;73
94;3691;74
74;3698;75
46;3640;76
45;3634;77
18;2489;78
40;3559;79
82;3633;80
43;3628;81
92;3682;82
86;3646;83
72;3621;84
6;3660;85
96;3717;86
83;3636;87
1;3694;88
44;3630;89
104;3737;90
103;3735;91
73;3692;92
102;3733;93
42;3587;94
75;3700;95
2;3411;96
